"","LSOA11CD","LSOA11NM","MEAN"
"1","E01000688","Bromley 037E",51.2429219796845
"2","E01000254","Barnet 001D",50.2257661449428
"3","E01002476","Hillingdon 001C",50.2229718875502
"4","E01000814","Bromley 028E",49.870920502092
"5","E01004091","Sutton 022A",49.8561073825503
"6","E01000680","Bromley 037A",49.569001530129
"7","E01000768","Bromley 034E",49.5466975178797
"8","E01002337","Havering 012A",49.4811936031448
"9","E01000757","Bromley 031D",49.371407379937
"10","E01000685","Bromley 037B",49.2266714984599
"11","E01001030","Croydon 038C",49.1959557053442
"12","E01004092","Sutton 022B",49.1376530770423
"13","E01003889","Richmond upon Thames 021D",49.0741341777162
"14","E01000652","Bromley 022B",48.945457644452
"15","E01001453","Enfield 017C",48.8616775682955
"16","E01001468","Enfield 010B",48.8567804135481
"17","E01001067","Croydon 041D",48.8102157639806
"18","E01002294","Havering 007B",48.7736859182349
"19","E01002477","Hillingdon 001D",48.7675675675676
"20","E01032623","Sutton 025E",48.6144357596483
"21","E01000255","Barnet 017A",48.5538675312645
"22","E01000649","Bromley 007B",48.5018267530937
"23","E01000261","Barnet 017C",48.4525584121933
"24","E01000794","Bromley 035E",48.3593035908596
"25","E01002275","Havering 015D",48.3327226929242
"26","E01000246","Barnet 002B",48.3315443693902
"27","E01002472","Hillingdon 002A",48.3139207213977
"28","E01002475","Hillingdon 001B",48.2990940580869
"29","E01000276","Barnet 020A",48.2740262282247
"30","E01001412","Enfield 004C",48.2065800877904
"31","E01000765","Bromley 034D",48.1823967443069
"32","E01004106","Sutton 022D",48.1480934809348
"33","E01002271","Havering 015B",48.1025828906393
"34","E01000650","Bromley 022A",48.0949309798597
"35","E01001049","Croydon 023C",47.9912874423963
"36","E01000536","Brent 004A",47.9563150074294
"37","E01000756","Bromley 033D",47.9408038012275
"38","E01001470","Enfield 013B",47.9393316466372
"39","E01003860","Richmond upon Thames 002E",47.930858377529
"40","E01000759","Bromley 034A",47.9144593534896
"41","E01001028","Croydon 038A",47.8724407637451
"42","E01000686","Bromley 037C",47.8673561151079
"43","E01001094","Croydon 038E",47.8404473279836
"44","E01001414","Enfield 004E",47.822193877551
"45","E01001521","Enfield 028A",47.804705392463
"46","E01000684","Bromley 035D",47.7316356513222
"47","E01002270","Havering 015A",47.7243362831858
"48","E01002112","Harrow 001A",47.7125756210581
"49","E01003847","Richmond upon Thames 002B",47.6169986220719
"50","E01000815","Bromley 025E",47.6083299959952
"51","E01000758","Bromley 031E",47.5972404730618
"52","E01000767","Bromley 027D",47.5962951133823
"53","E01003824","Richmond upon Thames 023C",47.5938074800736
"54","E01000540","Brent 004D",47.5914747153826
"55","E01002929","Kingston upon Thames 007A",47.5819386909693
"56","E01001416","Enfield 013A",47.5435709932968
"57","E01000840","Bromley 030G",47.5354911272182
"58","E01001029","Croydon 038B",47.5343373493976
"59","E01001475","Enfield 013D",47.5128281622912
"60","E01001064","Croydon 026C",47.5120771556067
"61","E01004114","Sutton 025D",47.5040052100293
"62","E01000262","Barnet 017D",47.4630190213708
"63","E01000769","Bromley 024A",47.4610183639399
"64","E01002482","Hillingdon 001E",47.4558916194077
"65","E01001032","Croydon 035A",47.4260282381829
"66","E01000763","Bromley 027A",47.4091604851054
"67","E01001567","Enfield 022C",47.3962264150943
"68","E01001072","Croydon 042C",47.3817459951064
"69","E01003795","Redbridge 018C",47.3781301119919
"70","E01000838","Bromley 030E",47.3779570878416
"71","E01000538","Brent 004B",47.3490899898888
"72","E01001452","Enfield 017B",47.3475503408911
"73","E01000301","Barnet 020C",47.3380524861878
"74","E01001098","Croydon 037F",47.3341594382487
"75","E01003445","Merton 010D",47.3100936524454
"76","E01000249","Barnet 001B",47.2698824984539
"77","E01001614","Greenwich 028B",47.2527818365741
"78","E01002961","Kingston upon Thames 008D",47.2493422975738
"79","E01000795","Bromley 032E",47.2491337491337
"80","E01001069","Croydon 040A",47.2398122993332
"81","E01004093","Sutton 025A",47.1922789539228
"82","E01002995","Kingston upon Thames 013D",47.1478890229192
"83","E01000188","Barnet 014C",47.081848308635
"84","E01001473","Enfield 013C",47.0796470728508
"85","E01002474","Hillingdon 002B",47.055099394987
"86","E01003823","Richmond upon Thames 023B",47.0473291023629
"87","E01003888","Richmond upon Thames 021C",47.0360405456138
"88","E01000809","Bromley 022D",46.9826926580434
"89","E01002011","Haringey 030D",46.9758064516129
"90","E01000832","Bromley 030A",46.961217874508
"91","E01000810","Bromley 025B",46.9445043103448
"92","E01001107","Croydon 035D",46.9423733263324
"93","E01002114","Harrow 001B",46.9270880282911
"94","E01000786","Bromley 032A",46.9046560846561
"95","E01000698","Bromley 010B",46.878445229682
"96","E01004112","Sutton 016C",46.8540103866128
"97","E01001108","Croydon 035E",46.850139275766
"98","E01000568","Brent 008D",46.8345171339564
"99","E01000761","Bromley 034C",46.8201672069613
"100","E01002273","Havering 015C",46.7979186834463
"101","E01000766","Bromley 027C",46.7706868577609
"102","E01000681","Bromley 035A",46.7576910878528
"103","E01002463","Hillingdon 013B",46.7381841806074
"104","E01003817","Richmond upon Thames 012D",46.7278778864207
"105","E01000258","Barnet 016B",46.7175062972292
"106","E01001062","Croydon 026A",46.7088230558686
"107","E01001248","Ealing 035A",46.7006149692515
"108","E01003822","Richmond upon Thames 023A",46.6948257655755
"109","E01000826","Bromley 021A",46.6807099668422
"110","E01000837","Bromley 030D",46.6264960792406
"111","E01000807","Bromley 022C",46.6239832388464
"112","E01000673","Bromley 011B",46.5894514767933
"113","E01000696","Bromley 007E",46.5779290752351
"114","E01002478","Hillingdon 002C",46.5659967409017
"115","E01000770","Bromley 012D",46.5630926331145
"116","E01000753","Bromley 031A",46.5276236708276
"117","E01002010","Haringey 030C",46.5203873598369
"118","E01001451","Enfield 017A",46.5114022319262
"119","E01000818","Bromley 040B",46.4914493538652
"120","E01001101","Croydon 035B",46.4798467991975
"121","E01000666","Bromley 033B",46.4491354369912
"122","E01003000","Kingston upon Thames 017C",46.4442997308327
"123","E01002924","Kingston upon Thames 014E",46.4413057124922
"124","E01002113","Harrow 002A",46.4307219164778
"125","E01000293","Barnet 001F",46.4045271997079
"126","E01000250","Barnet 001C",46.3853132488874
"127","E01001413","Enfield 004D",46.3464766738239
"128","E01001536","Enfield 008B",46.3102022058824
"129","E01001075","Croydon 040C",46.3048368953881
"130","E01001456","Enfield 022A",46.2944297082228
"131","E01000294","Barnet 004F",46.2919975565058
"132","E01003890","Richmond upon Thames 018C",46.267539756782
"133","E01000448","Bexley 023D",46.2599434905455
"134","E01000775","Bromley 024C",46.2557341520679
"135","E01000290","Barnet 007F",46.2267794290184
"136","E01000813","Bromley 025D",46.2211318285901
"137","E01001520","Enfield 019A",46.2162857142857
"138","E01002562","Hounslow 003A",46.1920142155326
"139","E01002116","Harrow 002C",46.1868060091443
"140","E01001523","Enfield 019C",46.1852566576611
"141","E01000830","Bromley 021C",46.1848909920568
"142","E01000449","Bexley 023E",46.1753961267606
"143","E01001531","Enfield 028B",46.1703862660944
"144","E01000569","Brent 008E",46.1680085882984
"145","E01000754","Bromley 031B",46.1524850377309
"146","E01002376","Havering 012C",46.1518837140314
"147","E01003852","Richmond upon Thames 003A",46.1517313122306
"148","E01002268","Havering 010A",46.1285273891392
"149","E01001454","Enfield 017D",46.1259592484784
"150","E01001469","Enfield 008A",46.116785079929
"151","E01002293","Havering 007A",46.1113210289202
"152","E01003885","Richmond upon Thames 016D",46.0945149592022
"153","E01000793","Bromley 032D",46.084659452578
"154","E01002253","Havering 019A",46.0843196713294
"155","E01003810","Richmond upon Thames 019A",46.0744111349036
"156","E01000839","Bromley 030F",46.0664179104478
"157","E01000303","Barnet 020D",46.0663529411765
"158","E01002257","Havering 019C",46.0644518272425
"159","E01002109","Harrow 008C",46.0476659444554
"160","E01000269","Barnet 005C",46.0033039647577
"161","E01003900","Richmond upon Thames 015C",45.9919989331911
"162","E01000204","Barnet 025C",45.9826302729529
"163","E01000687","Bromley 037D",45.9775065387969
"164","E01002134","Harrow 029B",45.9478379681723
"165","E01000645","Bromley 007A",45.9394990366089
"166","E01003444","Merton 010C",45.9318780579601
"167","E01002994","Kingston upon Thames 016A",45.919835234474
"168","E01000651","Bromley 020A",45.9143955276031
"169","E01000253","Barnet 007B",45.904014753008
"170","E01000833","Bromley 021E",45.8981173864895
"171","E01002190","Harrow 009D",45.8579331710555
"172","E01001533","Enfield 028D",45.8236191638694
"173","E01001474","Enfield 010E",45.8215778474399
"174","E01001615","Greenwich 028C",45.8047343503419
"175","E01004084","Sutton 024A",45.7899258102304
"176","E01000752","Bromley 036D",45.7733545264071
"177","E01000653","Bromley 016D",45.7711932503013
"178","E01000115","Barnet 009A",45.7584108804581
"179","E01003837","Richmond upon Thames 022D",45.7489776046738
"180","E01002434","Hillingdon 007B",45.7331868668375
"181","E01001104","Croydon 042D",45.7328338839075
"182","E01001208","Ealing 018E",45.7296233839236
"183","E01001419","Enfield 020A",45.7149497675813
"184","E01000119","Barnet 009C",45.692
"185","E01002951","Kingston upon Thames 003C",45.6723366159355
"186","E01000292","Barnet 001E",45.6622516556291
"187","E01003828","Richmond upon Thames 020A",45.6598268675858
"188","E01002916","Kingston upon Thames 014B",45.6374773139746
"189","E01002960","Kingston upon Thames 006B",45.6299625468165
"190","E01001544","Enfield 009D",45.6200396825397
"191","E01003759","Redbridge 009A",45.6163101604278
"192","E01001096","Croydon 037D",45.5991830482512
"193","E01001472","Enfield 010D",45.5900079302141
"194","E01001127","Croydon 025A",45.5801944106926
"195","E01003468","Merton 020C",45.5721287023226
"196","E01000662","Bromley 026B",45.5609146810146
"197","E01000695","Bromley 007D",45.5605880015892
"198","E01000168","Barnet 003B",45.5580057526366
"199","E01000716","Bromley 011C",45.5567729083665
"200","E01001422","Enfield 011D",45.5356534768099
"201","E01000190","Barnet 014E",45.5343137254902
"202","E01000562","Brent 008A",45.5325558794947
"203","E01003836","Richmond upon Thames 022C",45.5310778914241
"204","E01000283","Barnet 012C",45.509656004828
"205","E01000461","Bexley 024E",45.5028248587571
"206","E01003780","Redbridge 014G",45.4876748834111
"207","E01001016","Croydon 041B",45.4703414075911
"208","E01000693","Bromley 010A",45.4699711513244
"209","E01003835","Richmond upon Thames 022B",45.4657725621682
"210","E01002458","Hillingdon 011A",45.463588283157
"211","E01002430","Hillingdon 007A",45.4634146341463
"212","E01002926","Kingston upon Thames 010B",45.4613785936959
"213","E01001302","Ealing 039C",45.4390681003584
"214","E01003006","Kingston upon Thames 001A",45.4351995051036
"215","E01002667","Hounslow 020A",45.4245614035088
"216","E01003462","Merton 002B",45.4223941738735
"217","E01001092","Croydon 037B",45.4221122675311
"218","E01001031","Croydon 038D",45.4097874443895
"219","E01003814","Richmond upon Thames 019C",45.4072933933223
"220","E01001534","Enfield 032E",45.4058257220439
"221","E01000256","Barnet 016A",45.3832162794886
"222","E01003826","Richmond upon Thames 023E",45.3778129068254
"223","E01000682","Bromley 035B",45.3674321503131
"224","E01001457","Enfield 010A",45.3614953271028
"225","E01002137","Harrow 029D",45.3323343323343
"226","E01002440","Hillingdon 003C",45.3110339808543
"227","E01002922","Kingston upon Thames 010A",45.2988361119849
"228","E01000760","Bromley 034B",45.2939322301024
"229","E01003838","Richmond upon Thames 022E",45.2923841059603
"230","E01000445","Bexley 024C",45.2920398850769
"231","E01001605","Greenwich 023A",45.2797717374981
"232","E01002473","Hillingdon 001A",45.2620119926911
"233","E01000751","Bromley 036C",45.2564353209514
"234","E01002296","Havering 007C",45.2559242877264
"235","E01003891","Richmond upon Thames 018D",45.2397214854111
"236","E01001122","Croydon 033B",45.2326993120194
"237","E01002146","Harrow 004B",45.2271494279986
"238","E01000199","Barnet 025B",45.2215909090909
"239","E01002176","Harrow 033G",45.2123642007243
"240","E01000257","Barnet 017B",45.2101352355476
"241","E01000697","Bromley 007F",45.209756097561
"242","E01002983","Kingston upon Thames 015E",45.2009628824352
"243","E01001135","Croydon 025D",45.1999119330691
"244","E01003876","Richmond upon Thames 008B",45.1862083509068
"245","E01000648","Bromley 016C",45.1565285789198
"246","E01000348","Bexley 020A",45.155910326087
"247","E01003818","Richmond upon Thames 017A",45.1502181591523
"248","E01004632","Wandsworth 028A",45.1479756359728
"249","E01000835","Bromley 030B",45.1371905756039
"250","E01000683","Bromley 035C",45.1363636363636
"251","E01000811","Bromley 025C",45.1230145319365
"252","E01002920","Kingston upon Thames 014D",45.1141562365127
"253","E01000444","Bexley 023B",45.1050682544293
"254","E01002133","Harrow 027A",45.104618525134
"255","E01000664","Bromley 026D",45.104020979021
"256","E01002269","Havering 010B",45.1006451612903
"257","E01000755","Bromley 031C",45.0979936027915
"258","E01000241","Barnet 031C",45.08078994614
"259","E01000259","Barnet 025D",45.0698265895954
"260","E01002298","Havering 007D",45.0619371842741
"261","E01002678","Hounslow 009B",45.0559670112043
"262","E01000663","Bromley 026C",45.0527156549521
"263","E01003775","Redbridge 014B",45.0230582524272
"264","E01002479","Hillingdon 004C",45.011257515671
"265","E01003881","Richmond upon Thames 016B",45.0100364963504
"266","E01000280","Barnet 007D",45.0096494682946
"267","E01001418","Enfield 011C",45.004618569836
"268","E01001247","Ealing 015E",44.9915091036415
"269","E01003813","Richmond upon Thames 019B",44.9904519414386
"270","E01000764","Bromley 027B",44.9891631547261
"271","E01002354","Havering 012B",44.9665475803832
"272","E01002147","Harrow 004C",44.9513643659711
"273","E01001278","Ealing 011C",44.9478222418749
"274","E01000713","Bromley 012B",44.9382775119617
"275","E01003819","Richmond upon Thames 017B",44.9330098011229
"276","E01000275","Barnet 012A",44.9265060240964
"277","E01001415","Enfield 011A",44.921601180594
"278","E01001068","Croydon 042A",44.9165790856542
"279","E01003792","Redbridge 027C",44.9139576883385
"280","E01000248","Barnet 001A",44.9131540697674
"281","E01002208","Harrow 025A",44.9094622191967
"282","E01002192","Harrow 016C",44.9015235151248
"283","E01002226","Harrow 001D",44.9012733586903
"284","E01000572","Brent 007A",44.8858595194085
"285","E01000266","Barnet 011B",44.8856647216527
"286","E01000288","Barnet 004C",44.8851774530271
"287","E01001992","Haringey 017B",44.8791830708661
"288","E01000812","Bromley 028D",44.8723515563693
"289","E01000836","Bromley 030C",44.8696470588235
"290","E01000252","Barnet 002E",44.869298245614
"291","E01003855","Richmond upon Thames 003D",44.8663484486874
"292","E01000272","Barnet 008B",44.8611405554378
"293","E01002228","Harrow 003B",44.8592857142857
"294","E01002154","Harrow 015A",44.8424012158055
"295","E01000387","Bexley 027C",44.809446780977
"296","E01002158","Harrow 019D",44.8049693669163
"297","E01000991","Croydon 018B",44.8026049854031
"298","E01004626","Wandsworth 027F",44.7665450755602
"299","E01000282","Barnet 008E",44.7563057083254
"300","E01002464","Hillingdon 011E",44.7506658211795
"301","E01001279","Ealing 013C",44.7450748620961
"302","E01000247","Barnet 002C",44.7330841121495
"303","E01000382","Bexley 027A",44.7277892561983
"304","E01002255","Havering 022A",44.7268914611642
"305","E01002188","Harrow 016A",44.7210406772662
"306","E01000182","Barnet 029E",44.7207165824529
"307","E01003864","Richmond upon Thames 002F",44.7130027333073
"308","E01003895","Richmond upon Thames 009D",44.7099711303575
"309","E01003677","Redbridge 036C",44.6977089170925
"310","E01000167","Barnet 002A",44.6975967957276
"311","E01002460","Hillingdon 011C",44.6894459102902
"312","E01001584","Greenwich 021D",44.6721611721612
"313","E01001568","Enfield 022D",44.6624132527423
"314","E01001471","Enfield 010C",44.6384847653033
"315","E01003815","Richmond upon Thames 019D",44.621325648415
"316","E01001608","Greenwich 027C",44.6153184165232
"317","E01003875","Richmond upon Thames 006C",44.6003980099502
"318","E01003791","Redbridge 027B",44.5969919012727
"319","E01002512","Hillingdon 013C",44.5757498943811
"320","E01004154","Sutton 022E",44.570473699506
"321","E01000717","Bromley 011D",44.5482725217953
"322","E01002334","Havering 008B",44.5359950351676
"323","E01004624","Wandsworth 024E",44.5300751879699
"324","E01002254","Havering 019B",44.5259048970901
"325","E01003200","Lewisham 009B",44.5238795986622
"326","E01002975","Kingston upon Thames 012A",44.5231967490687
"327","E01002918","Kingston upon Thames 017A",44.5085568917669
"328","E01001964","Haringey 009B",44.5083359547027
"329","E01000356","Bexley 009A",44.5051249199231
"330","E01001194","Croydon 045D",44.4950276243094
"331","E01004108","Sutton 024C",44.4886266797771
"332","E01003812","Richmond upon Thames 018B",44.4859589041096
"333","E01003001","Kingston upon Thames 017D",44.4733840304183
"334","E01004575","Wandsworth 013C",44.4699192956713
"335","E01000804","Bromley 004D",44.4689282497748
"336","E01003809","Richmond upon Thames 005D",44.4646999495714
"337","E01001524","Enfield 019D",44.4534428794992
"338","E01003425","Merton 015C",44.4516010305484
"339","E01002115","Harrow 002B",44.4469064748201
"340","E01000779","Bromley 001A",44.4438313647728
"341","E01002516","Hillingdon 013E",44.4437403665011
"342","E01001993","Haringey 017C",44.4431818181818
"343","E01004085","Sutton 024B",44.429580081754
"344","E01001023","Croydon 041C",44.4261573666608
"345","E01001540","Enfield 008C",44.426116838488
"346","E01001223","Ealing 020B",44.4243231247226
"347","E01003849","Richmond upon Thames 002C",44.4122061030515
"348","E01001129","Croydon 026D",44.4084312370422
"349","E01002931","Kingston upon Thames 007C",44.4043876882777
"350","E01002946","Kingston upon Thames 019C",44.4041417591802
"351","E01002135","Harrow 029C",44.402358490566
"352","E01001070","Croydon 040B",44.400526513727
"353","E01002438","Hillingdon 003A",44.3898074621995
"354","E01000563","Brent 008B",44.3782084861184
"355","E01003235","Lewisham 038A",44.3750766087845
"356","E01001275","Ealing 020H",44.37113997114
"357","E01003745","Redbridge 001B",44.3629343629344
"358","E01001535","Enfield 028E",44.3592889334001
"359","E01001036","Croydon 029A",44.3546428571429
"360","E01003010","Kingston upon Thames 001E",44.344510190664
"361","E01000424","Bexley 026A",44.3382390911438
"362","E01002189","Harrow 016B",44.3356301400311
"363","E01000912","Camden 001D",44.3307104067383
"364","E01000355","Bexley 011C",44.3058795524875
"365","E01000484","Brent 006B",44.3005913272011
"366","E01002917","Kingston upon Thames 014C",44.2997159090909
"367","E01002148","Harrow 006B",44.2973541791942
"368","E01000228","Barnet 007A",44.2817110161313
"369","E01001027","Croydon 043E",44.2750485706356
"370","E01001074","Croydon 041E",44.2634015594542
"371","E01000325","Bexley 014A",44.2613026819923
"372","E01002300","Havering 007E",44.2580935251799
"373","E01001962","Haringey 004A",44.2536358347877
"374","E01002952","Kingston upon Thames 002A",44.2354304170763
"375","E01003473","Merton 001B",44.2312530237059
"376","E01001543","Enfield 009C",44.2222222222222
"377","E01000210","Barnet 033E",44.2158660554116
"378","E01001017","Croydon 043A",44.2152674036451
"379","E01001966","Haringey 009D",44.2143553735128
"380","E01004130","Sutton 003A",44.2140542133176
"381","E01000750","Bromley 036B",44.1908859145953
"382","E01003869","Richmond upon Thames 011B",44.1800250469631
"383","E01002978","Kingston upon Thames 015B",44.1782644857222
"384","E01004109","Sutton 024D",44.1730769230769
"385","E01003451","Merton 024D",44.1595689205632
"386","E01000194","Barnet 018C",44.1583081570997
"387","E01002317","Havering 014C",44.1527777777778
"388","E01004636","Wandsworth 028D",44.1492042440318
"389","E01000732","Bromley 023D",44.1420084865629
"390","E01004637","Wandsworth 028E",44.1334269662921
"391","E01002355","Havering 014E",44.1309680245291
"392","E01000985","Croydon 021A",44.1286549707602
"393","E01001100","Croydon 031E",44.1276073619632
"394","E01002127","Harrow 023B",44.1224714968738
"395","E01003363","Merton 021B",44.1212055507372
"396","E01000665","Bromley 033A",44.1156827668456
"397","E01001299","Ealing 035B",44.1137961335677
"398","E01002572","Hounslow 007B",44.1020114942529
"399","E01000460","Bexley 022E",44.100530139407
"400","E01001337","Ealing 029D",44.0969746524939
"401","E01002953","Kingston upon Thames 002B",44.0860215053763
"402","E01003778","Redbridge 014E",44.0847072200114
"403","E01004095","Sutton 025C",44.0752166377816
"404","E01000841","Bromley 030H",44.0751924215512
"405","E01002563","Hounslow 006A",44.0709754163362
"406","E01000278","Barnet 020B",44.0640932265113
"407","E01000566","Brent 008C",44.0601431980907
"408","E01003009","Kingston upon Thames 001D",44.052368245497
"409","E01000443","Bexley 024B",44.0454046136946
"410","E01002986","Kingston upon Thames 008E",44.0433188173275
