"","LAD11NM","mean"
"1","Kingston upon Thames",42.7609874792997
"2","Richmond upon Thames",42.7297133419273
"3","Bromley",42.68818036685
"4","Barnet",41.5817095460752
"5","Harrow",41.486514455782
"6","Bexley",40.9824817144192
"7","Havering",40.9203266806784
"8","Sutton",40.8945997813812
"9","Merton",40.0159823576624
"10","Enfield",39.9682930398025
"11","Hillingdon",39.5591684568495
"12","Croydon",39.5092224856828
"13","Redbridge",39.0998476905237
"14","Ealing",38.8716366811014
"15","Greenwich",38.5698451354175
"16","Brent",38.4759019543573
"17","Wandsworth",37.8725266945288
"18","Hounslow",37.1481251340552
"19","Haringey",37.0948209951457
"20","Barking and Dagenham",36.9823770798632
"21","Lewisham",36.9701885328376
"22","City of London",36.9444161541575
"23","Waltham Forest",36.5119753682395
"24","Hammersmith and Fulham",35.6635424550484
"25","Camden",34.8929748229202
"26","Lambeth",34.5067226129132
"27","Newham",34.4037766293367
"28","Hackney",34.1815895050974
"29","Southwark",33.8334897296229
"30","Islington",33.3155163427319
"31","Tower Hamlets",32.5232939044763
"32","Kensington and Chelsea",32.4800333363743
"33","Westminster",32.3656733478771
